V1,V2,V3,V4,V5,V6,S1,S2,S3,S4,S5,S6,E1,E2,E3,E4,E5,E6,I1,I2,I3,I4,I5,I6,R1,R2,R3,R4,R5,R6
0.0,420106.3790080433,1115611.860396641,777634.5108111073,794473.3194195625,773612.3034492276,191816.19842471072,221029.25884994454,1482100.3545381776,2325161.933387404,7004025.5608687075,43891276.82302585,137.33768992697543,19.359425123182884,110.85659815417989,392.18783120424047,276.77630323156126,499.1434640339616,304.64720199810233,115.25033975946974,362.8964436253235,1127.793575464799,858.272435576638,1365.093501777547,5354.4833566335565,13331.953362904758,22018.64191480837,71968.81572534435,347181.8964317332,682584.1279462678
0.0,418294.0292983518,1105274.0484288235,789690.0254972208,790967.8155060089,765467.8985628029,192348.70081795094,219313.4008647415,1473737.6565999442,2301353.8488014317,7008183.124796032,43857795.170554616,128.64808946342575,20.463582815284155,142.88318633558754,569.2375453005103,578.0429266402982,247.64385272409356,339.58758518109755,119.19493973972138,424.64547154864147,1518.4319673264242,1294.4237052904448,1149.6300558266084,4750.271615496657,13415.255644763509,22448.668373331388,71465.50154821835,343798.83645694004,679192.1031012802
0.0,416670.14050025295,1095162.9400896481,800990.6279046758,787789.1175743454,757450.5523562283,192689.26817135568,217648.4533252088,1465325.7003917315,2278015.707980946,7010758.855409889,43823876.55513029,162.65700413315867,29.732397934132063,155.05809674691056,629.6640345662825,927.2508076851874,367.49805598032736,400.6664982221964,138.65990465312652,478.46194801795116,1839.1547714547878,2116.2490386756776,1119.476506499104,4276.142543492671,13415.114571987806,22920.00375227025,71302.00950998651,341009.9027219013,675649.4019455422
0.0,415197.49410889624,1085281.0744234407,811567.9883891187,784913.94792691,749560.4528094718,192890.45978051875,216028.7457591206,1456837.3815329475,2255051.4702219362,7011674.382661755,43789466.72108523,188.59485594302313,39.1565515136516,174.6667237597202,700.0372558098844,1275.310568834232,504.3154578004573,480.46596371099884,174.18097018277476,537.3301923783127,2113.627597742295,3197.264405404035,1392.7368958739241,3936.651210494465,13373.202101152308,23422.636815206784,71399.18817003518,339091.544823406,672244.2437308546
0.0,413851.8068992662,1075629.2866296007,821452.6883175827,782320.242764744,741797.5972625603,193046.71969782322,214465.54352825836,1448319.0168379229,2232622.395547636,7011537.20669451,43754785.268209636,186.2108979469793,41.93405572260764,175.27634021392214,691.1431604613264,1388.5405626031552,549.0698239954024,529.9350718543476,207.83345171231844,585.477518475964,2295.0182767269716,4124.839448994666,1700.01587463644,3705.746925737067,13318.882967991247,23956.727332584927,71707.92889660357,338104.01230747206,669133.317419064
0.0,412626.5885458135,1066208.2076720607,830675.2335488519,779987.1105003093,734161.8058661332,193276.73427601974,212982.52091206203,1439881.2837492384,2211103.167313582,7011464.82713123,43720260.10768074,146.3091538717517,34.54480740447182,140.52316610393783,550.2761169922661,1141.4207426894072,451.3420219868677,500.9691574332686,215.93095981345502,566.7164461988385,2199.819040512778,4323.576636881558,1757.125780588468,3521.275241703557,13254.118474828856,24488.067190892394,72065.90394681935,337651.13215355,666221.3637080155
0.0,411528.8419025698,1057019.2570959392,839266.2232245393,777894.8053050049,726652.7345083518,193628.61951519037,211593.57673482565,1431591.6881036311,2190696.1936774016,7012144.810701676,43686157.80594952,92.33848415863969,22.295323301699213,90.19331760575922,354.1236665393366,729.3614193146605,288.3361203356457,394.6875265691146,189.33358899467183,465.71300874326994,1793.9974600754495,3665.293260507234,1486.9821234957203,3309.901371248678,13154.101218606645,24947.29968535391,72204.05011749546,336997.51474347146,663239.9078178706
0.0,410563.92098928615,1048064.3160683638,847255.3735751568,776024.6917675675,719269.8872579968,194045.73717622095,210291.38249098693,1423420.0464166119,2171238.6554164714,7013355.671720839,43652389.93040975,55.30704438953934,13.215023445168171,54.52901366036559,215.87768607197447,432.7060566611552,170.90706521757681,270.65973240715925,143.8698045229962,335.13403884766865,1285.346112580073,2655.470176798153,1079.4669246247158,3037.135191593191,12989.530976511373,25283.339330847048,71941.0267056611,335597.2548942304,659975.0115260446
0.0,409725.7662676859,1039344.7227451055,854670.6672638734,774359.1891094464,712012.6281926079,194447.0976325155,209060.35172066794,1415300.4236567398,2152435.3984935456,7014539.094195905,43618733.470836096,41.42506943005402,9.484805479612783,40.67590857990524,162.11723477040803,317.7263242779245,125.28542386985684,182.9171691970901,102.41179205652465,233.7661567433163,896.1163822918238,1843.9076491901349,750.6708801778713,2723.258654504182,12749.903580800059,25497.90037016724,71301.64814807265,333410.11218025116,656405.8741344772
0.0,408999.5706992329,1030860.663243739,861538.3917579466,772881.7085916356,704880.1925001967,194788.22928609105,207888.7182612335,1407190.7110082342,2134086.6647275835,7015320.162940421,43585034.85823733,41.83351759083788,9.257990268934675,40.347060973540195,160.1575468359818,318.07353554757435,125.22999577099051,142.35258748339322,76.15721462074528,179.63033277568172,690.8613636542027,1410.9639109282193,573.0921276669609,2410.3152109686794,12445.659204020394,25625.77669737481,70433.91502963498,330713.6497933317,652638.4522535113
