,0
V1,0.0
V2,1092801.56419647
V3,2271322.9604079784
V4,1530917.1802908466
V5,2237475.769915728
V6,9738629.513003213
S1,387792.96150107053
S2,121391.89602182992
S3,648948.9172594224
S4,306183.43605816923
S5,2237475.769915728
S6,38954518.052012846
E1,0.3333333333333333
E2,0.1111111111111111
E3,0.1111111111111111
E4,0.0
E5,0.0
E6,0.0
I1,1.1666666666666667
I2,0.3888888888888889
I3,0.3888888888888889
I4,0.0
I5,0.0
I6,0.0
R1,0.0
R2,30.0
R3,324474.70862971124
R4,1224733.7442326774
R5,2983301.026554304
R6,0.0
