,0
V1,0.0
V2,989784.1604385996
V3,1854185.9131038764
V4,1058053.9563798353
V5,1063585.314324625
V6,2296420.0067837406
S1,454176.2697432926
S2,377925.24152907496
S3,1702985.280180086
S4,2237465.053303281
S5,5785386.027074419
S6,45987623.22997691
E1,2.027237067827107
E2,1.0371203303745467
E3,0.4373605612518639
E4,0.09449521641217637
E5,0.004349343085562612
E6,0.037109239747478116
I1,6.266715094108794
I2,4.880590645145602
I3,1.9145881711441846
I4,0.3882745207942879
I5,0.0257665319809134
I6,0.13688475341014708
R1,34.390079447509294
R2,123.49819974857684
R3,20394.241329666816
R4,116679.88198804385
R5,962887.5127676897
R6,883144.3478452548
