,0
V1,0.0
V2,435842.732219307
V3,1025987.638942033
V4,897775.945815477
V5,779944.2113633738
V6,687828.5276592585
S1,196555.71405653356
S2,182341.69123143933
S3,1367736.3451409359
S4,2069437.3703544461
S5,6800178.249999708
S6,43418146.64041354
E1,43.0014605539461
E2,47.434568770238066
E3,68.41879513090808
E4,97.57053441427416
E5,572.3757059688684
E6,703.5911826062031
I1,103.32759025332685
I2,140.54226043925917
I3,187.62899990785323
I4,289.00739243123377
I5,1531.2735211088832
I6,1921.7665878535001
R1,654.4537213484699
R2,5026.797725526943
R3,21606.216174720037
R4,61158.1661020721
R5,525593.4207301325
R6,700515.1997850428
